id,Source,Target,Reference,Orig-Nasal-As-Line,Orig-Nasal-As-Tilde
1,Ye' shkèxnã bua'ë .,Yo amanecí muy bien .,Constenla1998 pg001,Ye' shkè̠na̠ bua'ë .,
2,Ye' dör bikâkala .,Yo soy maestro de ceremonias .,Constenla1998 pg001,Ye' dör bikâkala .,
3,Ìs a' shkèxnã ?,Como amanecieron ustedes ?,Constenla1998 pg001,Ìs a' shkè̠na̠ ?,
4,Sa' shkèxnã bua'ë .,Nosotros amanecimos muy bien .,Constenla1998 pg001,Sa' shkè̠na̠ bua'ë .,
5,Ìs be' shkèxnã ?,Como amaneció usted ?,Constenla1998 pg001,Ìs be' shkè̠na̠ ?,
6,Ye' shkèxnã bua'ë .,Yo amanecí muy bien .,Constenla1998 pg001,Ye' shkè̠na̠ bua'ë .,
7,Ye' dör Juan .,Yo soy Juan .,Constenla1998 pg001,Ye' dör Juan .,
8,Íxmã be' kie ?,Cómo se llama usted ?,Constenla1998 pg001,Í̠ma̠ be' kie ?,
9,Ye' kie Juan .,Yo me llamo Juan .,Constenla1998 pg001,Ye' kie Juan .,
10,Àxã !,Ah !,Constenla1998 pg001,À̠a̠ !,
11,Be' kie ye' kie e's .,Yo me llamo como usted se llama .,Constenla1998 pg001,Be' kie ye' kie e's .,
12,Se' dör ãñìx tókàiö .,Nosotros somos tocayos .,Constenla1998 pg001,Se' dör a̠ñì̠ tókàiö .,
13,Íxmã be' ajkà batà dör ?,Cómo se apellida usted ?,Constenla1998 pg001,Í̠ma̠ be' ajkà batà dör ?,
14,Ye' ajkà batà dör López .,Mi apellido es López .,Constenla1998 pg001,Ye' ajkà batà dör López .,
15,Ie'pa dör yì ?,Quiénes son ellos ?,Constenla1998 pg001,Ie'pa dör yì ?,
16,Ie'pa dör ye' yàmíxpa Carlos ẽnã María .,Ellos son mi familia Carlos y Maria .,Constenla1998 pg001,Ie'pa dör ye' yàmí̠pa Carlos e̠na̠ María .,
17,Ye' dör bikâkala .,Yo soy maestro de ceremonias .,Constenla 1998 pg003,Ye' dör bikâkala .,
18,Bikâkala ye' dör .,Yo soy maestro de ceremonias .,Constenla 1998 pg003,Bikâkala ye' dör.,
19,Káx i' kie Yèqri .,Este lugar se llama Salitre .,Constenla 1998 pg003,Ká̠ i' kie Yë̀ri .,
20,Íyi kua e' kie sawák .,Aquella planta se llama chayote .,Constenla 1998 pg003,Íyi kua e' kie sawák .,
21,Ie' shkèxnã bua' .,Él amaneció bien .,Constenla 1998 pg004,Ie' shkè̠na̠ bua' .,
22,Ie' dör awá bua' .,Él es un buen chamán .,Constenla 1998 pg004,Ie' dör awá bua' .,
23,Ye' dör e's .,Yo soy así .,Constenla 1998 pg004,Ye' dör e's .,
24,Wéqm e's dör bua' .,Un hombre así es bueno .,Constenla 1998 pg004,Wë́m e's dör bua' .,
25,Ie' stsö e's .,Él canta así .,Constenla 1998 pg004,Ie' stsö e's .,
26,Íxmã káx e' kie ?,Cómo se llama este lugar ?,Constenla 1998 pg005,Í̠ma̠ ká̠ e' kie ?,
27,Se' dör ãñìx tókàiö .,Nosotros somos tocayos .,Constenla 1998 pg005,Se' dör a̠ñì̠ tókàiö .,
28,Bikâkala bua' i' kie Carlos .,Este buen maestro de ceremonias se llama Carlos .,Constenla 1998 pg005,Bikâkala bua' i' kie Carlos .,
29,I' kie Carlos .,Este se llama Carlos .,Constenla 1998 pg005,I' kie Carlos .,
30,Wéqm e' dör sulû .,Aquel hombre es malo .,Constenla 1998 pg005,Wë́m e' dör sulû .,
31,Be' nãùx,Su tío .,Constenla 1998 pg006,Be' na̠ù̠,
32,Yì yàmĩ,Familiar de quién ?,Constenla 1998 pg006,Yì yàmi̠,
33,Talók nãúxyöm,Sobrino de Talok .,Constenla 1998 pg006,Talók na̠ú̠yöm,
34,aláköl ikuòq,Maíz de la mujer .,Constenla 1998 pg006,aláköl ikuö̀,
35,I' dör ye' ajkà bata .,Este es mi apellido .,Constenla 1998 pg006,I' dör ye' ajkà bata .,
36,Ye' ajkà batà dör López .,Mi apellido es Lopez .,Constenla 1998 pg006,Ye' ajkà batà dör López .,
37,Ikuòq kua .,Planta de maiz .,Constenla 1998 pg006,Ikuö̀ kua .,
38,Íyi kua .,Planta .,Constenla 1998 pg006,Íyi kua .,
39,Ye' shkèxnã ie' shkèxnã e's .,Yo me llamo como tu te llamas .,Constenla 1998 pg007,Ye' shkè̠na̠ ie' shkè̠na̠ e's .,
40,Be' aláköl dör Juan aláköl e's .,Su esposa es como la esposa de Juan .,Constenla 1998 pg007,Be' aláköl dör Juan aláköl e's.,
62,Alà tö kua'kua sũwèx .,El niño ve la mariposa .,GrammarJara 2018 pg007,,Alà tö kua'kua sũwẽ̀ .
63,Kua'kua sũwèx alà tö .,El niño ve la mariposa .,GrammarJara 2018 pg007,,Kua'kua sũwẽ̀  alà tö.
64,Alà inùx .,El niño juega .,GrammarJara 2018 pg007,,Alà inù .
65,ye' ù,mi casa,GrammarJara 2018 pg042,,ye' ù
66,aláköl ù,la casa de la mujer,GrammarJara 2018 pg042,,aláköl ù
67,Ìs be' shkèxnã ?,Cómo amaneció usted ?,GrammarJara 2018 pg066,,Ìs be' shkẽ̀na? 
68,Ye' tsèqnẽ bua'ë .,Te felicito .,GrammarJara 2018 pg067,,Ye' tsë̀ne bua'ë .
69,Be' i chè . . .,Si usted lo dice ...,GrammarJara 2018 pg067,,Be' i chè ...
70,Be' tö i chè .,Usted lo dice .,GrammarJara 2018 pg067,,Be' tö i chè .
71,Inìxr bua' bola i' wa .,Se juega bien con esta bola .,GrammarJara 2018 pg069,,Inìr bua' bola i' wa .
72,Ye' ã inìxr bola' i' wa .,Yo puedo jugar con esta bola .,GrammarJara 2018 pg069,,Ye' ã inìr bola' i' wa .
73,Ye' kóxwötã' ye' ãmìx kímũk .,Debo ayudar a mi madre .,GrammarJara 2018 pg069,,Ye' kṍwötã' ye' ãmì kímuk .
74,E' kóxwötã' yànũk íxñẽ .,Eso debe beberse hoy .,GrammarJara 2018 pg069,,E' kṍwötã' yànuk ĩ́ñe .
75,Ìs be' tso ?,Cómo está usted ?,Constenla 1998 pg011,Ìs be' tso ?,
76,Ye' tso bua' .,Yo estoy bien .,Constenla 1998 pg011,Ye' tso bua' .,
77,Ìs be' tso e's ?,Y cómo está usted ?,Constenla 1998 pg011,Ìs be' tso e's ?,
78,Ye' kèq kũ bua' .,Yo no estoy bien .,Constenla 1998 pg011,Ye' kë̀ ku̠ bua' .,
79,Ye' tso dawèie .,Yo estoy enfermo .,Constenla 1998 pg011,Ye' tso dawèie .,
80,Wèxs be' de ?,Qué te pasó ?,Constenla 1998 pg011,Wè̠s be' de ?,
81,Tãîx ye' ã tawàlia ièqna .,Tengo mucha gripe .,Constenla 1998 pg011,Ta̠î̠ ye' a̠ tawàlia ië̀na .,
82,Bóqkali nãñéxwe bakali' ẽ' tẽ'wa dakarò wé ã .,Anteayer en la noche aquel zorro se metió en la casa de los pollos .,Constenla 1998 pg011,Bö́kali na̠ñé̠we bakali' e̠' te̠'wa dakarò wé a̠ .,
83,Ì wámbalë be' tö ?,Qué hizo usted ?,Constenla 1998 pg011,Ì wámbalë be' tö ?,
84,Ye' ẽ' ka'kã e' ujtóqkwã kàxlĩ ã .,Yo me levanté a matarlo en la lluvia .,Constenla 1998 pg011,Ye' e̠' ka'ka̠ e' ujtö́kwa̠ kà̠li̠ a̠ .,
85,Bakali' kóqtwã be' tö ?,Usted mató al zorro ?,Constenla 1998 pg011,Bakali' kö́twa̠ be' tö ?,
86,Aû .,No .,Constenla 1998 pg011,Aû .,
87,Kàlwak bákshka ye' yòqki .,El maldito se me escapó .,Constenla 1998 pg011,Kàlwak bákshka ye' yö̀ki .,
88,Ke'tke't !,Qué mal !,Constenla 1998 pg011,Ke'tke't !,
89,Kàlwak ése dör sulûë .,Ese maldito es malo .,Constenla 1998 pg011,Kàlwak ése dör sulûë .,
90,Ye' dör Juan .,Yo soy Juan .,Constenla 1998 pg013,Ye' dör Juan .,
91,Kèq ye' dör Juan .,Yo no soy Juan .,Constenla 1998 pg013,Kë̀ ye' dör Juan .,
92,Ye' kèq dör Juan .,Yo no soy Juan .,Constenla 1998 pg013,Ye' kë̀ dör Juan .,
93,Bakali' tso .,Hay zorros .,Constenla 1998 pg014,Bakali' tso .,
94,Ye' tso sulû .,Yo estoy mal .,Constenla 1998 pg014,Ye' tso sulû .,
95,Ye' tso káxmîx .,Yo estoy lejos .,Constenla 1998 pg014,Ye' tso ká̠mî̠ .,
96,Ie' dör bua' .,Él es bueno .,Constenla 1998 pg014,Ie' dör bua' .,
97,Ie' tso bua' .,Él está bien .,Constenla 1998 pg014,Ie' tso bua' .,
98,Káx batà dör sĩêx .,La montaña es azul .,Constenla 1998 pg014,Ká̠ batà dör si̠ê̠ .,
99,Ie' tso bua' .,Él está bien .,Constenla 1998 pg014,Ie' tso bua' .,
100,Ie' kèq kũ bua' .,Él no está bien .,Constenla 1998 pg014,Ie' kë̀ ku̠ bua' .,
101,Kèq ie' kũ bua' .,Él no está bien .,Constenla 1998 pg014,Kë̀ ie' ku̠ bua' .,
102,Ie' bák bua' .,Él estuvo bien .,Constenla 1998 pg014,Ie' bák bua' .,
103,Ie' kèq kũ'bak bua' .,Él no estuvo bien .,Constenla 1998 pg014,Ie' kë̀ ku̠'bak bua' .,
104,Kèq ie' kũ'bak bua' .,Él no estuvo bien .,Constenla 1998 pg014,Kë̀ ie' ku̠'bak bua' .,
105,Ie' tö be' súx .,Él te vio .,Constenla 1998 pg017,Ie' tö be' sú̠ .,
106,Ie' stsë' .,Él cantó .,Constenla 1998 pg017,Ie' stsë' .,
107,Ye' tö be' súx .,Yo te vi .,Constenla 1998 pg017,Ye' tö be' sú̠ .,
108,Ye' tö ie' súx .,Yo lo vi .,Constenla 1998 pg017,Ye' tö ie' sú̠ .,
109,Be' dör ie' súx .,Usted lo vió .,Constenla 1998 pg017,Be' dör ie' sú̠ .,
110,Be'r ie' súx .,Usted lo vió .,Constenla 1998 pg017,Be'r ie' sú̠ .,
111,Ie'pa tso stsa'wö wé ã .,Ellos están en la escuela .,Constenla 1998 pg018,Ie'pa tso stsa'wö wé a̠ .,
112,Ye' dë' Talók ù ã .,Yo llegué a la casa de Talok .,Constenla 1998 pg018,Ye' dë' Talók ù a̠ .,
113,Ie'pa tso Yèqri .,Ellos están en Salitre .,Constenla 1998 pg018,Ie'pa tso Yë̀ri .,
114,Ye' dë' Ãmùxbali .,Yo llegué a Amubri .,Constenla 1998 pg018,Ye' dë' A̠mù̠bali .,
115,Ie' tö shkãmẽ' yö' ye' ã .,Él me hizo un arco .,Constenla 1998 pg018,Ie' tö shka̠me̠' yö' ye' a̠ .,
116,Ye' tö sawéq kóqtwã ie' yòqkĩ .,Yo le maté un conejo .,Constenla 1998 pg018,Ye' tö sawë́ kö́twa̠ ie' yö̀ki̠ .,
117,Ye' dë' ie' yòqkĩ .,Yo llegué antes que él .,Constenla 1998 pg018,Ye' dë' ie' yö̀ki̠ .,
118,Ìs ie' tso ?,Cómo está él ?,Constenla 1998 pg019,Ìs ie' tso ?,
119,Be' dör Juan ?,Él es Juan ?,Constenla 1998 pg019,Be' dör Juan ?,
120,Ie' dör bua' .,Él es bueno .,Constenla 1998 pg019,Ie' dör bua' .,
121,Ìs ie' dör ?,Cómo es él ?,Constenla 1998 pg019,Ìs ie' dör ?,
122,Ie' dör Carlos .,Él es Carlos .,Constenla 1998 pg019,Ie' dör Carlos .,
123,Carlos dör yì ?,Quién es Carlos ?,Constenla 1998 pg019,Carlos dör yì ?,
124,I' dör ì ?,Qué es esto ?,Constenla 1998 pg019,I' dör ì ?,
125,Kèq be' dör bikâkala ?,No es usted maestro de ceremonias ?,Constenla 1998 pg019,Kë̀ be' dör bikâkala ?,
126,Aû .,No .,Constenla 1998 pg019,Aû .,
127,Kèq ye' dör bikâkala .,Yo no soy maestro de ceremonias .,Constenla 1998 pg019,Kë̀ ye' dör bikâkala .,
135,Ie'pa tso káxmîx .,Ellos están lejos .,Constenla 1998 pg021,Ie'pa tso ká̠mî̠ .,
136,Sibòqnũ kèq kũ dawèie .,Sibonu no está enfermo .,Constenla 1998 pg021,Sibö̀nu̠ kë̀ ku̠ dawèie .,
137,Ie' dör sĩâx .,Él es pobre .,Constenla 1998 pg021,Ie' dör si̠â̠ .,
